Ward no,What is the name of your ward?,Did you vote in the last BBMP elections (2010)?,Mention the elections that you voted in.,Who is your corporator?,What are the problems you face in your area? Issue 1,What are the problems you face in your area? Issue 2,What are the problems you face in your area? Issue 3,What are the problems you face in your area? Issue 4,What are the problems you face in your area? Issue 5,What are the problems you face in your area? Issue 6,What are the problems you face in your area? Issue 7,What are the problems you face in your area? Issue 8,What are the problems you face in your area? Issue 9,The issues to which the councillor gave importance [Hospitals/Primary health care centre],The issues to which the councillor gave importance [Building and Zoning Regulations],The issues to which the councillor gave importance [Restoration of lakes],"The issues to which the councillor gave importance [Roads, footpath]",The issues to which the councillor gave importance [Street lights],"The issues to which the councillor gave importance [Public facilities/basic amenities - playground, parks, public toilets etc.]",The issues to which the councillor gave importance [Cleanliness and garbage clearance],"The issues to which the councillor gave importance [Encroachment of public land, lakes and roads]",The issues to which the councillor gave importance [Public schooling],The issues to which the councillor gave importance [Public health & sanitation],"How did she/he perform at the ward level, on each of the above issues? [Hospitals/Primary health care centre]","How did she/he perform at the ward level, on each of the above issues? [Building and Zoning Regulations]","How did she/he perform at the ward level, on each of the above issues? [Restoration of lakes]","How did she/he perform at the ward level, on each of the above issues? [Roads, footpath]","How did she/he perform at the ward level, on each of the above issues? [Street lights]","How did she/he perform at the ward level, on each of the above issues? [Public facilities/basic amenities - playground, parks, public toilets etc.]","How did she/he perform at the ward level, on each of the above issues? [Cleanliness and garbage clearance]","How did she/he perform at the ward level, on each of the above issues? [Encroachment of public land/lakes]","How did she/he perform at the ward level, on each of the above issues? [Encouraging public schooling]","How did she/he perform at the ward level, on each of the above issues? [Public health and sanitation]",Rate your corporator. [Interaction with public],Rate your corporator. [Accessible to public],Rate your corporator. [How trustworthy is your corporator?],Rate your corporator. [How corrupt is your corporator?],"Do you think your current corporator acted independently, free of pressure from family members or friends?","Would you vote for your current corporator, if she/he contests elections once again? *",What is important to you during an election?,What is important to you during an election? 2,What is important to you during an election? 3,What is important to you during an election? 4,What is important to you during an election? 5,What is important to you during an election? 6,"Who is the leader who can help solve Bangalore's problems, according to you?","Which party's candidate are you likely to vote for, in BBMP elections 2015?",Which political party represents Bangalore's interest best?,Age,Educational Qualification,Occupation,Monthly - family income levels,Gender,What are the languages you speak?,What are the languages you speak? 2,What are the languages you speak? 3,What are the languages you speak? 4,What are the languages you speak? 5,What are the languages you speak? 6,
59,Maruthi Seva Nagar,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",RAJENDRA R,Bad roads with potholes,,,,,,,,,5 - High Importance,5 - High Importance,Not applicable,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - Very Good,5 - Very Good,Not applicable,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,Not applicable,5 - Very Good,5 - Very Good,Very high,Very high,Very high,Zero,Yes,Yes,Candidate's individual capabilities,,,,,,UDAYAKUMAR VS,Party doesn't matter; candidate does,,31-40,Graduate diploma/degree,IT/ITES,"Between Rs 10,000 and Rs 25,000",Male,Kannada, Tamil, Telugu, Malayalam, English,,
176,B.T.M.Layout,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",Don't know,Garbage black spots, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Lack of parks and playgrounds, Encroachment of public land,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,Very high,No,No,Candidate's individual capabilities, Clean image of candidate, Corruption and scams of the party elsewhere in India,,,,Ashwin Mahesh,Loksatta candidate,"Loksatta, Aam Aadmi Party",31-40,Graduate diploma/degree,Private Firm Employee,"Between Rs 50,000 and Rs 1,00,000",Male,Kannada, Malayalam, Hindi, English,,,
182,Padmanabhanagar,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",l srinivas ,Garbage black spots, Non-collection of garbage from your home, Lack of public toilets, Lack of government schooling, Encroachment of public land,,,,,1 - Low Importance,1 - Low Importance,5 - High Importance,2,3,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,2 - Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Medium,Can't say,Can't say,Yes,No,Manifesto or promises,,,,,,dinesh gundurao,Congress candidate,Congress,25-30,Graduate diploma/degree,Private Firm Employee,"Between Rs 25,000 and Rs 50,000",Male,Kannada, Hindi, English,,,,
65,Kadu Malleshwaram,No - I was not interested,"Assembly elections 2013, Parliament elections 2014",Manjunath,Garbage black spots, Non-collection of garbage from your home, No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of parks and playgrounds, Encroachment of public land,,,2,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,2 - Poor,1- Very Poor,1- Very Poor,3 - Average,3 - Average,1- Very Poor,3 - Average,1- Very Poor,1- Very Poor,1- Very Poor,Low,Zero,Low,High,No,No,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate, Political party of the candidate, Corruption and scams of the party elsewhere in India,Citizen,Party doesn't matter; candidate does,"Loksatta, Aam Aadmi Party",31-40,Post graduate,Private Firm Employee,"Between Rs 50,000 and Rs 1,00,000",Female,Kannada, Telugu, Hindi, English,,,
150,Bellandur,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",Babu Reddy ,No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Lack of parks and playgrounds, Lack of government schooling, Encroachment of public land, Water crisis n mafia ,4,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,4,4,5 - High Importance,4,5 - High Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,Very high,No,No,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate,,,Nandan Nilekani ,Party doesn't matter; candidate does,BJP,31-40,Graduate diploma/degree,IT/ITES,"Between Rs 50,000 and Rs 1,00,000",Male,Kannada, English,,,,,
118,Sudham Nagar,No - I was not on the voters list,"Assembly elections 2013, Parliament elections 2014",Avvai.A,Garbage black spots, Non-collection of garbage from your home, Bad roads with potholes, Unwalkable footpaths, Lack of public toilets, Lack of parks and playgrounds,,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,Very high,No,No,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate, Corruption and scams of the party elsewhere in India,,,,,BJP,31-40,Post graduate,Private Firm Employee,"Above Rs 2,00,000",Male,Kannada, Hindi, English,,,,
150,Bellandur,No - I was not on the voters list,Parliament elections 2014,Babu Reddy(Congress),No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of public toilets, Lack of parks and playgrounds, No BWSSB water,,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Can't say,Can't say,No,No,Candidate's individual capabilities,,,,,,,Loksatta candidate,Loksatta,31-40,Graduate diploma/degree,Private Firm Employee,"Between Rs 50,000 and Rs 1,00,000",Male,Hindi, English,,,,,
142,Sunkenahalli,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",PN Sadashiva,Garbage black spots, Lack of public toilets,,,,,,,,3,3,Not applicable,4,5 - High Importance,4,4,Not applicable,4,4,3 - Average,3 - Average,Not applicable,4 - Good,5 - Very Good,4 - Good,4 - Good,Not applicable,4 - Good,4 - Good,Medium,High,Very high,Zero,Yes,Yes,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate, Political party of the candidate, Candidate's personality/ charm,BS Satyanarayana,BJP candidate,BJP,25-30,Graduate diploma/degree,Student,"Between Rs 25,000 and Rs 50,000",Male,Kannada, Telugu, Hindi, English,,,
68,Mahalakshmipuram,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",Keshava Murthy,Garbage black spots, Non-collection of garbage from your home, Unwalkable footpaths, Lack of public toilets, Lack of parks and playgrounds,,,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,2,3,2,4,3,3,2,4 - Good,4 - Good,4 - Good,4 - Good,4 - Good,4 - Good,5 - Very Good,4 - Good,4 - Good,3 - Average,Medium,Medium,Medium,Medium,,Yes,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate, Political party of the candidate, Corruption and scams of the party elsewhere in India,Current administrator seems to be good,Party doesn't matter; candidate does,Aam Aadmi Party,31-40,Post graduate,Private Firm Employee,"Between Rs 1,00,000 and Rs 2,00,000",Female,Kannada, Hindi, English,,,,
25,Horamavu,No - other reasons,,Tejaswini Raju,Garbage black spots, Non-collection of garbage from your home, No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Lack of parks and playgrounds, Lack of government schooling,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Low,High,Zero,Very high,No,No,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate, Corruption and scams of the party elsewhere in India, Ability to take responsibility,,The Citizens,Party doesn't matter; candidate does,,51- 60,Post graduate,Defence,"Between Rs 50,000 and Rs 1,00,000",Male,Tamil, Malayalam, Hindi, English, Marathi,,
149,Varthur,No - I was not on the voters list,I did not vote in any election,,Garbage black spots, No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Lack of parks and playgrounds,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,2,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,2 - Poor,1- Very Poor,Zero,Zero,Can't say,Can't say,No,No,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate, Corruption and scams of the party elsewhere in India,,,Party doesn't matter; candidate does,Loksatta,51- 60,Post graduate,Business/self employed,"Between Rs 50,000 and Rs 1,00,000",Male,Tamil, Malayalam, Hindi, English,,,
84,Hagaduru,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",Srinivas,Garbage black spots, Non-collection of garbage from your home, No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Lack of parks and playgrounds, Encroachment of public land,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,Zero,No,No,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate,,,,Narendra modi,Loksatta candidate,Loksatta,51- 60,Graduate diploma/degree,Retired,"Above Rs 2,00,000",Male,Hindi, English,,,,,
183,Chikkakallasandra,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",Srinivas,Garbage black spots, Non-collection of garbage from your home, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of parks and playgrounds,,,,1 - Low Importance,2,Not applicable,3,Not applicable,1 - Low Importance,1 - Low Importance,Not applicable,4,1 - Low Importance,1- Very Poor,4 - Good,4 - Good,3 - Average,4 - Good,1- Very Poor,1- Very Poor,2 - Poor,1- Very Poor,1- Very Poor,High,High,Medium,Low,Yes,No,Candidate's individual capabilities, Manifesto or promises, Clean image of candidate, Candidate's personality/ charm, Corruption and scams of the party elsewhere in India,,No idea,Congress candidate,Congress,21-25,Post graduate,Business/self employed,"Between Rs 50,000 and Rs 1,00,000",Female,Kannada, Tamil, Telugu, Hindi, English, Tulu,
150,Bellandur,No - I was not on the voters list,"Assembly elections 2013, Parliament elections 2014",babu reddy,Garbage black spots, Bad roads with potholes, Unwalkable footpaths, Lack of public toilets, Lack of parks and playgrounds, Encroachment of public land,,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Medium,Medium,Zero,Can't say,,No,Manifesto or promises, Clean image of candidate,,,,,NRN,Loksatta candidate,,31-40,Post graduate,Business/self employed,"Above Rs 2,00,000",Female,Hindi, English,,,,,
49,Lingarajapura,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",Lavanya Reddy,Garbage black spots, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Lack of parks and playgrounds, Encroachment of public land, Potable water and leaking/mixing of sewage.,,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,3,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,3 - Average,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Low,Low,Zero,High,No,No,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate, Corruption and scams of the party elsewhere in India, Educational qualifications,,Party doesn't matter; candidate does,"None, so far..",60+,Post graduate,Business/self employed,"Between Rs 25,000 and Rs 50,000",Female,Tamil, Hindi, English,,,,
117,Shathinagar,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",Sowmya Shivakumar,Garbage black spots, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of parks and playgrounds, Encroachment of public land,,,,1 - Low Importance,1 - Low Importance,Not applicable,1 - Low Importance,4,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,3 - Average,1- Very Poor,Not applicable,1- Very Poor,4 - Good,1- Very Poor,1- Very Poor,1- Very Poor,2 - Poor,1- Very Poor,Zero,Zero,Can't say,Can't say,No,No,Past work record of candidate, Clean image of candidate, Political party of the candidate,,,,,any non-political independent candidate with record of service,Left parties CPI/CPI(M) etc,60+,Post graduate,Professional (Medical/Law/CA),"Between Rs 50,000 and Rs 1,00,000",Female,Kannada, Hindi, English,,,,
90,Halsoor,No - I did not like the candidates,Parliament elections 2014,savita ramesh,Garbage black spots, Non-collection of garbage from your home, Bad roads with potholes, Lack of parks and playgrounds, anti social elemnts ,,,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,Very high,No,No,Candidate's individual capabilities,,,,,,no one is leader.,BJP candidate,BJP,25-30,Post graduate,Business/self employed,"Above Rs 2,00,000",Male,Kannada, Malayalam, Hindi, English,,,
27,Banaswadi,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",kodanda reddy,Garbage black spots, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Lack of parks and playgrounds, Lack of government schooling, Encroachment of public land,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,2,2,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,Zero,No,No,Candidate's individual capabilities, Clean image of candidate,,,,,,Congress candidate,Congress,25-30,Graduate diploma/degree,IT/ITES,"Between Rs 1,00,000 and Rs 2,00,000",Male,Kannada, Tamil, Telugu, Urdu, Hindi, English,
59,Maruthi Seva Nagar,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",Rajendran,Garbage black spots, Bad roads with potholes, Unwalkable footpaths,,,,,,,3,1 - Low Importance,1 - Low Importance,1 - Low Importance,2,1 - Low Importance,1 - Low Importance,3,3,2,3 - Average,1- Very Poor,3 - Average,1- Very Poor,3 - Average,3 - Average,1- Very Poor,3 - Average,3 - Average,2 - Poor,Medium,Low,Low,Very high,No,No,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate, Corruption and scams of the party elsewhere in India,,,Party doesn't matter; candidate does,Congress,51- 60,Graduate diploma/degree,Homemaker,"Between Rs 50,000 and Rs 1,00,000",Female,Hindi, English,,,,,
85,Doddanekundi,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",N R sridhar reddy,Garbage black spots, Non-collection of garbage from your home, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Lack of parks and playgrounds,,,2,5 - High Importance,4,5 - High Importance,4,5 - High Importance,5 - High Importance,5 - High Importance,2,4,3 - Average,1- Very Poor,1- Very Poor,1- Very Poor,2 - Poor,1- Very Poor,1- Very Poor,1- Very Poor,Not applicable,2 - Poor,Low,Low,Zero,Zero,No,No,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate, Corruption and scams of the party elsewhere in India,,Nandan Nilkeni,Party doesn't matter; candidate does,None,41-50,Post graduate,IT/ITES,"Between Rs 1,00,000 and Rs 2,00,000",Male,Kannada, Hindi, English,,,,
17,J.P Garden,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",Nanjundappa,Garbage black spots, No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of public toilets,,,,,5 - High Importance,3,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,3 - Average,3 - Average,Not applicable,1- Very Poor,4 - Good,4 - Good,3 - Average,Not applicable,1- Very Poor,1- Very Poor,Low,Low,High,Medium,No,Yes,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate,,,,Madam Ni!ekani,BJP candidate,BJP,51- 60,Graduate diploma/degree,Public sector Employee,"Above Rs 2,00,000",Male,Kannada, Urdu, Hindi, English,,,
35,Aramane Nagar,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",Dr. Shivaprasad,Garbage black spots, Unwalkable footpaths,,,,,,,,3,1 - Low Importance,1 - Low Importance,4,4,4,4,2,2,4,4 - Good,2 - Poor,1- Very Poor,4 - Good,4 - Good,4 - Good,4 - Good,1- Very Poor,3 - Average,4 - Good,Medium,Medium,High,Low,Yes,Yes,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate, Political party of the candidate,,,,BJP candidate,BJP,51- 60,Post graduate,Business/self employed,"Above Rs 2,00,000",Male,Kannada, Telugu, Hindi, English,,,
3,Attur,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",KN Geetha Shashikumar,Garbage black spots, No street lights, Unwalkable footpaths, Centre Parking  opening to road not cemented,,,,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,Zero,No,No,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate,,,,,Party doesn't matter; candidate does,,31-40,Graduate diploma/degree,IT/ITES,"Between Rs 50,000 and Rs 1,00,000",Female,Kannada, Hindi, English, Tulu,,,
185,Yalachenahalli,Yes,BBMP elections 2010,O Manjunath,Garbage black spots, Non-collection of garbage from your home, No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Lack of parks and playgrounds, Encroachment of public land,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,Very high,No,No,Candidate's individual capabilities, Clean image of candidate,,,,,,BJP candidate,BJP,25-30,Graduate diploma/degree,Private Firm Employee,"Between Rs 25,000 and Rs 50,000",Male,Kannada, Telugu, Hindi, English,,,
150,Bellandur,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",Babu Reddy,Garbage black spots, No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Lack of parks and playgrounds, Lack of government schooling,,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Low,Low,Zero,Very high,No,No,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate,,,,Loksatta candidate,"Loksatta, Aam Aadmi Party",31-40,Graduate diploma/degree,Private Firm Employee,"Between Rs 1,00,000 and Rs 2,00,000",Male,Hindi, English,,,,,
81,Vignana Nagar,No - other reasons,"Assembly elections 2013, Parliament elections 2014",Mrs Geeta,Garbage black spots, No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Lack of parks and playgrounds, Lack of government schooling, Encroachment of public land,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,2 - Poor,2 - Poor,4 - Good,3 - Average,3 - Average,2 - Poor,2 - Poor,2 - Poor,2 - Poor,2 - Poor,Low,High,Low,Low,No,No,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate, Political party of the candidate, Candidate's personality/ charm,Ashwin Mahesh,Loksatta candidate,Loksatta,25-30,Graduate diploma/degree,IT/ITES,"Between Rs 25,000 and Rs 50,000",Male,Tamil, English,,,,,
18,Radha Krishna Temple Ward,No - I was not on the voters list,Parliament elections 2014,,Garbage black spots, No street lights, Bad roads with potholes, Unwalkable footpaths,,,,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,2,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,Zero,No,No,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate,,,,,Party doesn't matter; candidate does,Aam Aadmi Party,31-40,Post graduate,IT/ITES,"Between Rs 1,00,000 and Rs 2,00,000",Male,Kannada, Tamil, Malayalam, Hindi, English,,
129,Gnanabharathi Ward,No - I was not on the voters list,Parliament elections 2014,Govindaraju,Bad roads with potholes, Unwalkable footpaths, Lack of public toilets,,,,,,,2,4,4,1 - Low Importance,3,2,4,3,3,3,3 - Average,3 - Average,3 - Average,1- Very Poor,2 - Poor,3 - Average,4 - Good,3 - Average,3 - Average,4 - Good,Low,Low,Zero,Low,No,No,Candidate's individual capabilities, Past work record of candidate, Political party of the candidate,,,,Ashwin Mahesh,NOTA,Loksatta,31-40,Post graduate,IT/ITES,"Between Rs 1,00,000 and Rs 2,00,000",Male,Kannada, Tamil, Hindi, English,,,
86,Marathhalli,No - other reasons,I did not vote in any election,Varalakshmi.J,Garbage black spots, No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of public toilets, Lack of parks and playgrounds, Encroachment of public land,,,1 - Low Importance,3,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,2 - Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Not applicable,1- Very Poor,Zero,Zero,Zero,Very high,No,No,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate,,,noone,Party doesn't matter; candidate does,,31-40,Post graduate,Homemaker,"Above Rs 2,00,000",Female,Hindi, English,,,,,
96,Okalipuram,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",queen elezebeth,Garbage black spots, Non-collection of garbage from your home, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Lack of parks and playgrounds, Lack of government schooling, Encroachment of public land,Not applicable,Not applicable,Not applicable,Not applicable,1 - Low Importance,1 - Low Importance,1 - Low Importance,Not applicable,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,Not applicable,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Not applicable,1- Very Poor,Zero,Zero,Zero,Zero,No,No,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate, Political party of the candidate, Corruption and scams of the party elsewhere in India,all are thiefs no one sacha ,no one ,no one ,41-50,Graduate diploma/degree,Private Firm Employee,"Between Rs 10,000 and Rs 25,000",Male,all indian language ,,,,,,
29,Kacharakanahalli,No - I was not on the voters list,Parliament elections 2014,Padanabh Reddy,Garbage black spots, Bad roads with potholes, Unwalkable footpaths, Encroachment of public land,,,,,,2,2,1 - Low Importance,5 - High Importance,3,4,5 - High Importance,2,2,2,2 - Poor,2 - Poor,1- Very Poor,5 - Very Good,4 - Good,4 - Good,3 - Average,1- Very Poor,1- Very Poor,3 - Average,Medium,High,High,Medium,Yes,Yes,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate,,,,,Party doesn't matter; candidate does,None,31-40,Post graduate,Private Firm Employee,"Between Rs 25,000 and Rs 50,000",Male,Kannada, Hindi, English,,,,
